姓名,属性,弱点,身高,体重,特征,分类,图鉴信息,附加信息,
铁甲蛹,虫,火飞行岩石,0.7,9.9,蜕皮,蛹寶可夢,正處於等待進化的狀態。除了變硬之外什麼都做不了，只能動也不動以免遭受攻擊。,透过蜕去身上的皮，有时会治癒异常状态。,
巴大蝶,虫飞行,火电冰飞行岩石,1.1,32,复眼,蝴蝶寶可夢,當牠飛快地拍動翅膀，帶有劇毒的鱗粉就會隨著風向這裡飄過來。,因为拥有复眼，会提高招式的命中率。,
独角虫,虫毒,火飞行超能力岩石,0.3,3.2,鳞粉,毛毛蟲寶可夢,有著非常靈敏的嗅覺。能用大大的紅鼻子聞出自己喜歡吃和不喜歡吃的葉子。,被鳞粉守护着，不会受到招式的追加效果影响。,
铁壳蛹,虫毒,火飞行超能力岩石,0.6,10,蜕皮,蛹寶可夢,雖然掛在樹上幾乎一動也不動，但體內正為了進化而忙碌準備著。證據就是牠的身體會變得很熱。,透过蜕去身上的皮，有时会治癒异常状态。,
大针蜂,虫毒,火飞行超能力岩石,1,29.5,虫之预感,毒蜂,大針蜂非常重視自己的地盤，為了安全起見，最好不要接近牠的住處。一旦生氣就會成群結隊襲擊而來。,ＨＰ减少的时候，虫属的招式威力会提高。,
超级大针蜂,虫毒,火飞行超能力岩石,1.4,40.5,适应力,毒蜂,大針蜂非常重視自己的地盤，為了安全起見，最好不要接近牠的住處。一旦生氣就會成群結隊襲擊而來。,与自身同属的招式威力会提高。,
波波,一般飞行,电冰岩石,0.3,1.8,锐利目光,小鳥寶可夢,因為方向感非常好，所以無論到了離巢穴多遠的地方，都能不迷路地飛回巢穴。,靠着锐利的目光，命中率不会被降低。特蹒跚陷入溷乱状态时，闪避率会提高。,
比比鸟,一般飞行,电冰岩石,1.1,30,锐利目光,鳥寶可夢,會飛在空中巡視自己廣大的地盤。要是有誰膽敢侵犯牠的地盤，牠會毫不留情地用利爪狠狠教訓一番。,靠着锐利的目光，命中率不会被降低。特蹒跚陷入溷乱状态时，闪避率会提高。,
大比鸟,一般飞行,电冰岩石,1.5,39.5,锐利目光,鳥,有著亮麗羽毛的寶可夢。有許多訓練家被大比鳥頭上美麗的羽毛深深吸引而開始培育牠。,靠着锐利的目光，命中率不会被降低。特蹒跚陷入溷乱状态时，闪避率会提高。,
超级大比鸟,一般飞行,电冰岩石,2.2,50.5,无防守,鳥寶可夢,有著亮麗羽毛的寶可夢。有許多訓練家被大比鳥頭上美麗的羽毛深深吸引而開始培育牠。,由于无防守战术，双方使出的招式都必定会击中。,
小拉达,一般,格斗,0.3,3.5,逃跑,鼠寶可夢,門牙會終生生長，如果長得太長，就會因為無法進食而餓死。,一定能从野生宝可梦那裡逃走。特性毅力陷入异常状态时，会拿出毅力，攻击会提高。,
拉达,一般,格斗,0.7,18.5,逃跑,鼠寶可夢,據說牠為了躲避敵人，會用後腳的小蹼在海中游泳，渡海逃往別的島嶼。,一定能从野生宝可梦那裡逃走。特性毅力陷入异常状态时，会拿出毅力，攻击会提高。,
烈雀,一般飞行,电冰岩石,0.3,2,锐利目光,小鳥寶可夢,生性魯莽衝動，只要是為了守護自己的地盤，即使對手是大型寶可夢也會正面迎戰。,靠着锐利的目光，命中率不会被降低。,
大嘴雀,一般飞行,电冰岩石,1.2,38,锐利目光,鳥嘴寶可夢,在大嘴雀的地盤上帶著食物走動是件危險的事，食物轉眼間就會被奪走。,目光靠着锐利的目光，命中率不会被降低。,
阿柏蛇,毒,地面超能力,2,6.9,威吓,蛇寶可夢,會藉由讓下顎脫臼來吞食比自己更大的獵物。進食之後會蜷縮起身子休息。,出场时威吓对手，使其退缩，从而降低对手的攻击。特蜕皮透过蜕去身上的皮，有时会治癒异常状态。,
阿柏怪,毒,地面超能力,3.5,65,威吓,眼鏡蛇寶可夢,最新的研究結果顯示，牠們肚子上的花紋有２０種以上的不同圖案。,出场时威吓对手，使其退缩，从而降低对手的攻击。特蜕皮透过蜕去身上的皮，有时会治癒异常状态。,
皮卡丘,电,地面,0.4,6,静电,鼠寶可夢,雙頰上有儲存電力的囊袋。一旦生氣就會把儲存的電力一口氣釋放出來。,身上带有静电，有时会令接触到的对手麻痺。,
雷丘,电,地面,0.8,30,静电,鼠寶可夢,尾巴會發揮接地線的作用把電氣導入地面，所以自己不會被電得發麻。,身上带有静电，有时会令接触到的对手麻痺。,
穿山鼠,地面,水草冰,0.6,12,沙隐,鼠寶可夢,棲息在雨量稀少的地區。遇到危險時會蜷縮起身體，藉此保護自己柔軟的腹部。,在沙暴中闪避率会提高。,
穿山王,地面,水草冰,1,29.5,沙隐,鼠寶可夢,爪子和尖刺經常折斷。折斷的爪子和尖刺被人們用來製作成耕作土地的工具。,在沙暴中闪避率会提高。,
尼多兰,毒,地面超能力,0.4,7,毒刺,毒針寶可夢,人們認為牠是為了保護自己嬌小的身體才演化出了威力強大的毒針。生氣時會從角的尖端噴出劇毒。,有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。,
尼多娜,毒,地面超能力,0.8,20,毒刺,毒針寶可夢,和夥伴及家人在一起的時候，會收起尖刺以避免傷到彼此。一旦離開夥伴似乎就會變得不安。,有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。,
尼多后,毒地面,水冰地面超能力,1.3,60,毒刺,鑽錐寶可夢,擅長利用長滿堅硬鱗片的身體將對手撞飛的攻擊。在保護孩子的時候會發揮最強的力量。,有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。,
尼多朗,毒,地面超能力,0.5,9,毒刺,毒針寶可夢,牽動耳朵的肌肉十分發達，可以隨意將耳朵轉動到任何方向。是無論多小的聲音也不會漏聽的寶可夢。,有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。,
尼多力诺,毒,地面超能力,0.9,19.5,毒刺,毒針寶可夢,有著比鑽石還要堅硬的角。感覺到敵人的氣息時，背上的刺會一起豎起來全力迎敵。,有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。,
尼多王,毒地面,水冰地面超能力,1.4,62,毒刺,鑽錐寶可夢,粗壯的尾巴揮出的一擊有著能將堅固鐵塔折斷的驚人破壞力。一旦鬧了起來就無人能擋。,有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。,
皮皮,妖精,毒钢,0.6,7.5,迷人之躯,妖精寶可夢,據說如果在滿月的夜晚看見皮皮們聚在一起跳舞，就能得到幸福。,有时会让接触到自己的对手陷入着迷状态。特魔法防守不会受到攻击以外的伤害。,
皮可西,妖精,毒钢,1.3,40,迷人,妖精寶可夢,妖精的一種。極少出現在人類面前。一感覺到有人就會立刻逃走。,有时会让接触到自己的对手陷入着迷状态。特魔法防守不会受到攻击以外的伤害。,
六尾,火,水地面岩石,0.6,9.9,引火,狐狸寶可夢,雖然還是孩子，但已擁有美麗的６根尾巴。長大後尾巴會變得更多。,受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。,
九尾,火,水地面岩石,1.1,19.9,引火,狐狸寶可夢,每一根尾巴裡都蘊含著神通力。據說牠的壽命長達１０００年。,受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。,
胖丁,一般妖精,毒钢,0.5,5.5,迷人之躯,氣球寶可夢,當牠圓圓的大眼睛轉動時，就會唱起奇妙的歌曲，讓人舒服地昏昏欲睡。,有时会让接触到自己的对手陷入着迷状态。特好胜被对手降低能力时，特攻会大幅提高。,
胖可丁,一般妖精,毒钢,1,12,迷人之躯,氣球寶可夢,擁有細緻的毛皮。小心別惹牠生氣，否則牠會不斷膨脹並朝著你壓過來。,有时会让接触到自己的对手陷入着迷状态。特好胜被对手降低能力时，特攻会大幅提高。,
超音蝠,毒飞行,电冰超能力岩石,0.8,7.5,精神力,蝙蝠寶可夢,因為沒有眼珠所以看不見東西。會從口中發出超音波來探測周圍的狀況。,靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
大嘴蝠,毒飞行,电冰超能力岩石,1.6,55,精神力,蝙蝠寶可夢,有時可以看見因為肚子太餓而去咬鋼屬性寶可夢，結果因此缺了牙齒的大嘴蝠。,靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
走路草,草毒,火冰飞行超能力,0.5,5.4,叶绿素,雜草寶可夢,沐浴月光就會開始活動。為了四處散播種子，會在夜晚到處走動。,天气为晴朗时，速度会提高。,
臭臭花,草毒,火冰飞行超能力,0.8,8.6,叶绿素,雜草寶可夢,雌蕊會散發一種極其強烈的惡臭，能讓２公里外的人昏倒。,天气为晴朗时，速度会提高。,
霸王花,草毒,火冰飞行超能力,1.2,18.6,叶绿素,花寶可夢,身上那些全世界最大的花瓣會隨著牠的每個步伐搖動，散播大量的毒花粉。,天气为晴朗时，速度会提高。,
派拉斯,虫草,火冰毒飞行虫岩石,0.3,5.4,孢子,蘑菇寶可夢,不知是因為濕氣不夠還是營養不足，阿羅拉的派拉斯背上的蘑菇長得都不怎麼樣。,透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。特乾燥皮肤下雨天气时和受到水属的招式攻击时，HP会回復。晴朗天气时和受到火属的招式攻击时，ＨＰ会减少。,
派拉斯特,虫草,火冰毒飞行虫岩石,1,29.5,孢子,蘑菇寶可夢,本體是背上的蘑菇，底下的蟲子幾乎已經死亡。一旦蘑菇脫落，牠就再也不會動了。,透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。特乾燥皮肤下雨天气时和受到水属的招式攻击时，HP会回復。晴朗天气时和受到火属的招式攻击时，ＨＰ会减少。,
毛球,虫毒,火飞行超能力岩石,1,30,复眼,昆蟲寶可夢,全身上下都會滲出毒素。天黑後就會去捕捉聚在燈光處的小型蟲寶可夢。,因为拥有复眼，会提高招式的命中率。特有色眼镜可将效果不好的招式以正常的威力使出。,
摩鲁蛾,虫毒,火飞行超能力岩石,1.5,12.5,鳞粉,毒蛾寶可夢,翅膀上附著鱗粉，每次翩翩拍動翅膀，就會散播劇毒的粉末。,被鳞粉守护着，不会受到招式的追加效果影响。特有色眼镜可将效果不好的招式以正常的威力使出。,
地鼠,地面,水草冰,0.2,0.8,沙隐,鼴鼠寶可夢,在大約１公尺深的地底挖洞前進，靠啃食樹根之類的東西生存。偶爾會到地面上露個臉。,在沙暴中闪避率会提高。特沙穴在战斗中让对手无法逃走。,
三地鼠,地面,水草冰,0.7,33.3,沙隐,鼴鼠寶可夢,三顆頭會輪流活動，是為了讓周圍的土變得更鬆更好挖。,在沙暴中闪避率会提高。特性沙穴在战斗中让对手无法逃走。,
猫老大,一般,格斗,1,32,柔软,暹羅貓寶可夢,有著漂亮的毛色，很多人想養牠當寵物，但牠很愛亂抓，所以並不好養。,因为身体柔软，不会陷入麻痺状态。特技术高手可让威力低的招式提高威力来进行攻击。,
可达鸭,水,草电,0.8,19.6,湿气,鴨寶可夢, 一直受到頭痛的困擾。當頭痛欲裂時，就會開始使用神奇的力量。,透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。特无关天气任何天气的影响都会消失。,
哥达鸭,水,草电,1.7,76.6,湿气,鴨寶可夢,當牠用帶有水蹼的修長手腳全力游泳時，不知為何額頭會閃閃發光。,透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。特无关天气任何天气的影响都会消失。,
猴怪,格斗,飞行超能力妖精,0.5,28,干劲,豬猴寶可夢,在樹上群居的寶可夢。和夥伴走散的猴怪會因為按捺不住寂寞而動不動就生氣。,透过激发出干劲，不会陷入睡眠状态。特愤怒穴位要害被击中时会大发雷霆。攻击力会提高到最大。,
火爆猴,格斗,飞行超能力妖精,1,32,干劲,豬猴寶可夢,光是感覺到他方的視線都會暴怒起來，然後去追和牠對到眼的傢伙。,透过激发出干劲，不会陷入睡眠状态。特愤怒穴位要害被击中时会大发雷霆。攻击力会提高到最大。,
卡蒂狗,火,水地面岩石,0.7,19,威吓,小狗寶可夢,能毫不畏懼地去對抗比自己更強更大的對手。性格非常勇敢可靠。,出场时威吓对手，使其退缩，从而降低对手的攻击。特引火受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。,
风速狗,火,水地面岩石,1.9,155,威吓,傳說寶可夢,根據過去的畫軸記載，牠在草原上奔馳的姿態擄獲了眾多人心。,出场时威吓对手，使其退缩，从而降低对手的攻击。特引火受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。,
蚊香蝌蚪,水,草电,0.6,12.4,储水,蝌蚪寶可夢,雖然危險卻總是想登上陸地。因為連走路都還走不穩，所以一被敵人發現就會慌忙逃進水中。,受到水属的招式攻击时，不会受到伤害，而是会回復。特湿气透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。,
蚊香君,水,草电,1,20,储水,蝌蚪寶可夢,雖然已經能在陸地上生活，但還是棲息在有大量魚寶可夢可以獵食的水中。,受到水属的招式攻击时，不会受到伤害，而是会回復。特湿气透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。,
蚊香泳士,水格斗,草电,1.3,54,储水,蝌蚪寶可夢,在水屬性寶可夢中是屬於游泳健將那一類型，但平時卻生活在陸地上。,受到水属的招式攻击时，不会受到伤害，而是会回復。特湿气透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。,
凯西,超能力,虫幽灵恶,0.9,19.5,同步,念力寶可夢,即使在睡夢中也會使出各式各樣的超能力，所以很難分辨牠是不是醒著。,将自己的中毒、麻痺或灼伤状态传染给对手。特精神力靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
勇基拉,超能力,虫幽灵恶,1.3,56.5,同步,念力寶可夢,會盯著銀湯匙瞧，來增強並釋放精神力量。換成金湯匙似乎就沒用了。,将自己的中毒、麻痺或灼伤状态传染给对手。特精神力靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
胡地,超能力,虫幽灵恶,1.5,48,同步,念力寶可夢,手中的湯匙是胡地用超能力製造出來的，是全世界獨一無二的作品。,将自己的中毒、麻痺或灼伤状态传染给对手。特精神力靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
超级胡地,超能力,虫幽灵恶,1.2,48,复制,念力寶可夢,會從額頭上的紅色器官釋放出精神力量，藉此看穿對手的一切。,出场时，复制对手的特，变为与之相同的特。,
腕力,格斗,飞行超能力妖精,0.8,19.5,毅力,怪力寶可夢,全身都是肌肉，雖然體型只有小孩那麼大，卻可以扔飛１００個大人。,陷入异常状态时，会拿出毅力，攻击会提高。特无防守由于无防守战术，双方使出的招式都必定会击中。,
豪力,格斗,飞行超能力妖精,1.5,70.5,毅力,怪力寶可夢,因為肉體非常強韌，所以戴著力量限制腰帶來控制力量。,陷入异常状态时，会拿出毅力，攻击会提高。特无防守由于无防守战术，双方使出的招式都必定会击中。,
怪力,格斗,飞行超能力妖精,1.6,130,毅力,怪力寶可夢,能夠迅速活動４隻手臂，從各種角度毫不停歇地使出拳擊或手刀。,陷入异常状态时，会拿出毅力，攻击会提高。特无防守由于无防守战术，双方使出的招式都必定会击中。,
喇叭芽,草毒,火冰飞行超能力,0.7,4,叶绿素,花寶可夢,無論多強的攻擊都能靠著彎曲纖細柔軟的身體來迴避。會從口中吐出連鐵都能融化的液體。,天气为晴朗时，速度会提高。,
口呆花,草毒,火冰飞行超能力,1,6.4,叶绿素,捕蠅寶可夢,到了晚上就會用臀部的鉤子掛在樹枝上睡覺。如果睡相不好，早上就會掉到地上。,天气为晴朗时，速度会提高。,
大食花,草毒,火冰飞行超能力,1.7,15.5,叶绿素,捕蠅寶可夢,會讓長在頭上的藤蔓像小生物一樣動來動去引誘獵物。等獵物靠近時就會張開大嘴一口吞掉。,天气为晴朗时，速度会提高。,
玛瑙水母,水毒,电地面超能力,0.9,45.5,恆淨之躯,水母寶可夢,會漂浮在海邊尋找獵物。有毒的觸手有時也會斷掉，但過了一段時間就會重新長出來。,不会因对手的招式或特而被降低能力。特污泥浆吸收了污泥浆的对手会因为强烈的恶臭而使得ＨＰ减少。,
毒刺水母,水毒,电地面超能力,1.6,55,恆淨之躯,水母寶可夢,會從紅色珠子中發出超音波，使獵物變得虛弱，然後用８０根觸手纏住獵物。,不会因对手的招式或特而被降低能力。特污泥浆吸收了污泥浆的对手会因为强烈的恶臭而使得ＨＰ减少。,
小拳石,岩石地面,水草冰格斗地面钢,0.4,20,坚硬,岩石寶可夢,活得久的小拳石身上的稜角會被磨平而變得圓滾滾的，性格也會變得穩重而隨和。,脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
隆隆石,岩石地面,水草冰格斗地面钢,1,105,坚硬,岩石寶可夢,會爬上山崖朝山頂前進，一到達山頂就會馬上沿著來時的山路滾下去。,脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
隆隆岩,岩石地面,水草冰格斗地面钢,1.4,300,坚硬,重量級寶可夢,年老之後就不會再脫皮。活過了漫長歲月的隆隆岩外皮會長滿苔蘚而變成綠色。,脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
小火马,火,水地面岩石,1,30,逃跑,火馬寶可夢,剛出生的時候不擅長奔跑，但隨著和夥伴們不斷地賽跑，會逐漸鍛鍊出強健的腳力。,一定能从野生宝可梦那裡逃走。特性引火受到火属性的招式攻击时，吸收火焰，让自己使出的火属性招式变强。, 
烈焰马,火,水地面岩石,1.7,95,逃跑,火馬寶可夢,任由燃燒的鬃毛隨風飄揚，以每小時２４０公里的速度在大草原上自在奔馳。,一定能从野生宝可梦那裡逃走。特性引火受到火属性的招式攻击时，吸收火焰，让自己使出的火属性招式变强。,
呆呆兽,水超能力,草电虫幽灵恶,1.2,36,迟钝,憨憨寶可夢,動作遲鈍且呆頭呆腦。就算挨打也得花上５秒才會感受到疼痛。,感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。,
呆壳兽,水超能力,草电虫幽灵恶,1.6,78.5,迟钝,寄居蟹寶可夢,呆呆獸去海裡捕食時，被大舌貝咬住了尾巴，於是就變成了呆殼獸。,感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。,
超级呆壳兽,水超能力,草电虫幽灵恶,2,120,硬壳盔甲,寄居蟹寶可夢,驚人的能量強化了尾巴上大舌貝的力量。對呆呆獸倒是沒什麼影響。,被坚硬的壳保护着，对手的攻击不会击中要害。,
小磁怪,电钢,火格斗地面,0.3,6,磁力,磁鐵寶可夢,從左右兩邊的組件發出的電磁波能阻礙重力，使牠浮在空中。,用磁力吸住钢属性的宝可梦，使其无法逃走。特性结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
三合一磁怪,电钢,火格斗地面,1,60,磁力,磁鐵寶可夢,３隻小磁怪因著強烈的磁力而結合。只要靠近牠就會發生強烈的耳鳴。,用磁力吸住钢属性的宝可梦，使其无法逃走。特性结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
大葱鸭,一般飞行,电冰岩石,0.8,15,锐利目光,黃嘴鴨寶可夢,會將翅膀所拿的莖狀植物當成劍一般去劈砍對手。在非常時期會拿它當作食物。,靠着锐利的目光，命中率不会被降低。特精神力靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
嘟嘟,一般飞行,电冰岩石,1.4,39.2,逃跑,兩頭鳥寶可夢,２顆頭從來不會同時睡著。為了防止在睡著時受到敵人襲擊，牠們會輪流負責放哨。,一定能从野生宝可梦那裡逃走。特性早起即使陷入睡眠状态，也能以２倍的速度提早醒来。,
嘟嘟利,一般飞行,电冰岩石,1.8,85.2,逃跑,三頭鳥寶可夢,３顆頭分別朝著不同方向時，就是牠正處於警戒狀態的證明。不小心靠近牠的話就會被鳥嘴啄。,一定能从野生宝可梦那裡逃走。特性早起即使陷入睡眠状态，也能以２倍的速度提早醒来。,
小海狮,水,草电,1.1,90,厚脂肪,海獅寶可夢,人們一向認為牠只棲息在寒冷的海域，沒人知道牠出現在阿羅拉的原因。,被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特湿润之躯天气为下雨时，会治癒异常状态。,
白海狮,水冰,草电格斗岩石,1.7,120,厚脂肪,海獅寶可夢,能以８節的速度在海中游動，尋找能當成獵物的寶可夢。弱丁魚是牠最愛吃的東西。,被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特湿润之躯天气为下雨时，会治癒异常状态。,
臭泥,毒,地面超能力,0.9,30,恶臭,污泥寶可夢,污泥變成的寶可夢。會聚集在骯髒的地方來繁殖身體的細菌。,发出臭气，在攻击的时候，有时会使对手畏缩。特黏着道具会黏在具有黏的身体上，不会被对手夺走。,
臭臭泥,毒,地面超能力,1.2,30,恶臭,污泥寶可夢,全身上下沾滿污泥。光是碰到牠的足跡，都會受到毒素的侵襲。,发出臭气，在攻击的时候，有时会使对手畏缩。特黏着道具会黏在具有黏的身体上，不会被对手夺走。,
大舌贝,水,草电,0.3,4,硬壳盔甲,雙殼貝寶可夢,包覆著身體的是比鑽石還硬的殼。不過殼裡面卻比想像中的還要柔軟。,被坚硬的壳保护着，对手的攻击不会击中要害。特连续攻击若使用连续招式，总是可使出最高次数。,
刺甲贝,水冰,草电格斗岩石,1.5,132.5,硬壳盔甲,雙殼貝寶可夢,刺甲貝棲息在潮流湍急的海裡，殼上的刺又大又尖銳。,被坚硬的壳保护着，对手的攻击不会击中要害。特连续攻击若使用连续招式，总是可使出最高次数。,
鬼斯,幽灵毒,地面超能力幽灵恶,1.3,0.1,飘浮,氣體狀寶可夢,會用氣體狀的身體纏住獵物，再從皮膚緩緩地注入毒素，使對手變得虛弱。,从地面浮起，从而不会受到地面属招式的攻击。,
鬼斯通,幽灵毒,地面超能力幽灵恶,1.6,0.1,飘浮,氣體狀寶可夢,喜歡躲在黑暗中伸出氣體構成的手去拍人的肩膀。一旦被接觸到，身體便會抖個不停。,从地面浮起，从而不会受到地面属招式的攻击。,
耿鬼,幽灵毒,地面超能力幽灵恶,1.5,40.5,诅咒之躯,影子寶可夢,會潛進獵物的影子裡，然後靜靜地等待奪取性命的機會到來。,受到攻击时，有时会把对手的招式变为定身法状态。,
超级耿鬼,幽灵毒,地面超能力幽灵恶,1.4,40.5,踩影,影子寶可夢,會奪取所有東西的生命。即使是身為牠主人的訓練家，也是牠試圖詛咒的對象。,踩住对手的影子使其无法逃走或替换。,
大岩蛇,岩石地面,水草冰格斗地面钢,8.8,210,坚硬脑袋,岩蛇寶可夢,會一邊在地底挖掘前進，一邊吸收各種堅硬的物體，藉此讓身體變得更加結實。,即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
催眠貘,超能力,虫幽灵恶,1,32.4,不眠,催眠寶可夢,能記住所有自己吃下的夢。由於小孩的夢更加美味，因此幾乎不吃大人的夢。,因为拥有不会睡觉的体质，所以不会陷入睡眠状态。特预知梦出场时，预见1个对手持有的招式。,
引梦貘人,超能力,虫幽灵恶,1.6,75.6,不眠,催眠寶可夢,據說牠和對手對到眼時，就會使出催眠術等各式各樣的超能力。,因为拥有不会睡觉的体质，所以不会陷入睡眠状态。特预知梦出场时，预见1个对手持有的招式。,
大钳蟹,水,草电,0.4,6.5,怪力钳,清水蟹寶可夢,能在海邊找到牠。巨大的鉗子即使斷掉也會再長出來。,因为拥有以力量为傲的钳子，不会被对手降低攻击。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
巨钳蟹,水,草电,1.3,60,怪力钳,鉗子寶可夢,雖然堅硬的鉗子有著１萬馬力的力量，但尺寸太大讓牠行動遲緩。,因为拥有以力量为傲的钳子，不会被对手降低攻击。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
霹雳电球,电,地面,0.5,10.4,隔音透过,球寶可夢,靠著翻滾身體來移動，如果地面凹凸不平，就會受到衝擊而爆炸。,遮蔽声音，不受到声音招式的攻击。特静电身上带有静电，有时会令接触到的对手麻痺。,
