编号,姓名,属性,弱点,数据,imgs
10,绿毛虫,蟲,火飛行岩石,身高0.3 m分類蟲寶寶寶可夢體重2.9 kg性別/特性鱗粉特性鱗粉被鱗粉守護著，不會受到招式的追加效果影響。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/68f0cec6bcba20a0c53db3d8cfce81bd319d2c82.png
11,铁甲蛹,蟲,火飛行岩石,身高0.7 m分類蛹寶可夢體重9.9 kg性別/特性蛻皮特性蛻皮透過蛻去身上的皮，有時會治癒異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/05fd4676fa4a4b58288510a97a5211e066e02464.png
12,巴大蝶,蟲飛行,火電冰飛行岩石,身高1.1 m分類蝴蝶寶可夢體重32.0 kg性別/特性複眼特性複眼因為擁有複眼，會提高招式的命中率。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/eacd20285cb634ba9fea41fc0fa13871c2fcbc66.png
12,巴大蝶,蟲飛行,火電冰飛行岩石,身高17.0 m〜分類-體重???.? kg性別/特性複眼特性複眼因為擁有複眼，會提高招式的命中率。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/b76026363e301dbd8ac3f084e7d242232c46c95f.png
13,独角虫,蟲毒,火飛行超能力岩石,身高0.3 m分類毛毛蟲寶可夢體重3.2 kg性別/特性鱗粉特性鱗粉被鱗粉守護著，不會受到招式的追加效果影響。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/5ae74d403ec682eaf13e066850afd4b0c20d85f7.png
14,铁壳蛹,蟲毒,火飛行超能力岩石,身高0.6 m分類蛹寶可夢體重10.0 kg性別/特性蛻皮特性蛻皮透過蛻去身上的皮，有時會治癒異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/dd41f31a3c97f1f9d998361b125362584873157b.png
15,大针蜂,蟲毒,火飛行超能力岩石,身高1.0 m分類毒蜂寶可夢體重29.5 kg性別/特性蟲之預感特性蟲之預感ＨＰ減少的時候，蟲屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/70f4206271b72492c9ba71d708d6183a80ba0e96.png
15,超级大针蜂,蟲毒,火飛行超能力岩石,身高1.4 m分類毒蜂寶可夢體重40.5 kg性別/特性適應力特性適應力與自身同屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e12ce48ab99b2df6fbbc1e97038c4f6e192d09d7.png
16,波波,一般飛行,電冰岩石,身高0.3 m分類小鳥寶可夢體重1.8 kg性別/特性銳利目光蹣跚特性銳利目光靠著銳利的目光，命中率不會被降低。特性蹣跚陷入混亂狀態時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/0e7c6e616404c683f00701b591eeab56e465641a.png
17,比比鸟,一般飛行,電冰岩石,身高1.1 m分類鳥寶可夢體重30.0 kg性別/特性銳利目光蹣跚特性銳利目光靠著銳利的目光，命中率不會被降低。特性蹣跚陷入混亂狀態時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a2935587b7c61e6e6da88da3578d700c133246e5.png
18,大比鸟,一般飛行,電冰岩石,身高1.5 m分類鳥寶可夢體重39.5 kg性別/特性銳利目光蹣跚特性銳利目光靠著銳利的目光，命中率不會被降低。特性蹣跚陷入混亂狀態時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/01e13954dff668c1420407c98b308c81b83f6dda.png
18,超级大比鸟,一般飛行,電冰岩石,身高2.2 m分類鳥寶可夢體重50.5 kg性別/特性無防守特性無防守由於無防守戰術，雙方使出的招式都必定會擊中。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/dd6ab4ce8e7d05fb74e50cf66764e3ed8e11a097.png
19,小拉达,一般,格鬥,身高0.3 m分類鼠寶可夢體重3.5 kg性別/特性逃跑毅力特性逃跑一定能從野生寶可夢那裡逃走。特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/3e4b38ab7545ebd938154d9aed9502cb068569d6.png
19,小拉达,惡一般,格鬥蟲妖精,身高0.3 m分類鼠寶可夢體重3.8 kg性別/特性貪吃鬼活力特性貪吃鬼原本ＨＰ變得很少時才會吃的樹果，在ＨＰ還有一半時就會把它吃掉。特性活力自己的攻擊雖會變高，但命中率會降低。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/3567693e3479fb0cf15b9ec84ee8a033aa7b4310.png
20,拉达,一般,格鬥,身高0.7 m分類鼠寶可夢體重18.5 kg性別/特性逃跑毅力特性逃跑一定能從野生寶可夢那裡逃走。特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e97c62e4e4b46017be60806d00f4d389d003f115.png
20,拉达,惡一般,格鬥蟲妖精,身高0.7 m分類鼠寶可夢體重25.5 kg性別/特性貪吃鬼活力特性貪吃鬼原本ＨＰ變得很少時才會吃的樹果，在ＨＰ還有一半時就會把它吃掉。特性活力自己的攻擊雖會變高，但命中率會降低。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a30454b7040a4a517bfe0914777e2e7c045f6c65.png
21,烈雀,一般飛行,電冰岩石,身高0.3 m分類小鳥寶可夢體重2.0 kg性別/特性銳利目光特性銳利目光靠著銳利的目光，命中率不會被降低。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e815cb4b8ba9c2d0841dfa364c87164880944e3a.png
22,大嘴雀,一般飛行,電冰岩石,身高1.2 m分類鳥嘴寶可夢體重38.0 kg性別/特性銳利目光特性銳利目光靠著銳利的目光，命中率不會被降低。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/8b326a6f77b73b3c250ba95f3a97fc21b28c8f4b.png
23,阿柏蛇,毒,地面超能力,身高2.0 m分類蛇寶可夢體重6.9 kg性別/特性威嚇蛻皮特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。特性蛻皮透過蛻去身上的皮，有時會治癒異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/ad90ec632849d032615d707ebe8ad741651eee06.png
24,阿柏怪,毒,地面超能力,身高3.5 m分類眼鏡蛇寶可夢體重65.0 kg性別/特性威嚇蛻皮特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。特性蛻皮透過蛻去身上的皮，有時會治癒異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/eb3c14ed44c1e4a2ba4c2d7970cddf07cd8ef67f.png
25,皮卡丘,電,地面,身高0.4 m分類鼠寶可夢體重6.0 kg性別/特性靜電特性靜電身上帶有靜電，有時會令接觸到的對手麻痺。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png
25,皮卡丘,電,地面,身高21.0 m〜分類-體重???.? kg性別/特性靜電特性靜電身上帶有靜電，有時會令接觸到的對手麻痺。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a90881f103830615ee7f85e16fe9f586d41f2332.png
26,雷丘,電,地面,身高0.8 m分類鼠寶可夢體重30.0 kg性別/特性靜電特性靜電身上帶有靜電，有時會令接觸到的對手麻痺。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/9c28defa939e230800ec0d0c421d9f82c60df77a.png
26,雷丘,電超能力,地面蟲幽靈惡,身高0.7 m分類鼠寶可夢體重21.0 kg性別/特性衝浪之尾特性衝浪之尾電氣場地時，速度會變為２倍。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/8be55a3ff2b24890fac0b9e2415dda9d0f893c1f.png
27,穿山鼠,地面,水草冰,身高0.6 m分類鼠寶可夢體重12.0 kg性別/特性沙隱特性沙隱在沙暴中閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f5fcf7a292a180320138ace7235f8a2c16f6594a.png
27,穿山鼠,冰鋼,火格鬥地面,身高0.7 m分類鼠寶可夢體重40.0 kg性別/特性雪隱特性雪隱天氣為下雪時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/d9ea1612a6ec53ba12e2d9abe28f99e66021bde1.png
28,穿山王,地面,水草冰,身高1.0 m分類鼠寶可夢體重29.5 kg性別/特性沙隱特性沙隱在沙暴中閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/d00d72f082b7dae546fa8bd5cf09fcfe53ffcae8.png
28,穿山王,冰鋼,火格鬥地面,身高1.2 m分類鼠寶可夢體重55.0 kg性別/特性雪隱特性雪隱天氣為下雪時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/cc154af4dcd20d14aba494a6a679f528bb9f3d6d.png
29,尼多兰,毒,地面超能力,身高0.4 m分類毒針寶可夢體重7.0 kg性別特性毒刺鬥爭心特性毒刺有時會讓接觸到自己的對手陷入中毒狀態。特性鬥爭心面對性別相同的對手，會燃起鬥爭心，變得更強。面對性別不同的對手時則會變弱。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/14179c8ab9c2003fc5b27a29e91e4cd195283d52.png
30,尼多娜,毒,地面超能力,身高0.8 m分類毒針寶可夢體重20.0 kg性別特性毒刺鬥爭心特性毒刺有時會讓接觸到自己的對手陷入中毒狀態。特性鬥爭心面對性別相同的對手，會燃起鬥爭心，變得更強。面對性別不同的對手時則會變弱。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/fed980fd2341745923812e9dcd88a039aaaf36ea.png
31,尼多后,毒地面,水冰地面超能力,身高1.3 m分類鑽錐寶可夢體重60.0 kg性別特性毒刺鬥爭心特性毒刺有時會讓接觸到自己的對手陷入中毒狀態。特性鬥爭心面對性別相同的對手，會燃起鬥爭心，變得更強。面對性別不同的對手時則會變弱。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/5174a41a9db00baf5dd664c92a12254b0baa5fde.png
32,尼多朗,毒,地面超能力,身高0.5 m分類毒針寶可夢體重9.0 kg性別特性毒刺鬥爭心特性毒刺有時會讓接觸到自己的對手陷入中毒狀態。特性鬥爭心面對性別相同的對手，會燃起鬥爭心，變得更強。面對性別不同的對手時則會變弱。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/237579eaf2141edad61d647c62f074d53653337b.png
33,尼多力诺,毒,地面超能力,身高0.9 m分類毒針寶可夢體重19.5 kg性別特性毒刺鬥爭心特性毒刺有時會讓接觸到自己的對手陷入中毒狀態。特性鬥爭心面對性別相同的對手，會燃起鬥爭心，變得更強。面對性別不同的對手時則會變弱。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f3d8e45646fb05516dff845922c3d62d9aa33cbe.png
34,尼多王,毒地面,水冰地面超能力,身高1.4 m分類鑽錐寶可夢體重62.0 kg性別特性毒刺鬥爭心特性毒刺有時會讓接觸到自己的對手陷入中毒狀態。特性鬥爭心面對性別相同的對手，會燃起鬥爭心，變得更強。面對性別不同的對手時則會變弱。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/ce24d9eb27f4e554ea5bd29840a35957f7bd9d30.png
35,皮皮,妖精,毒鋼,身高0.6 m分類妖精寶可夢體重7.5 kg性別/特性迷人之軀魔法防守特性迷人之軀有時會讓接觸到自己的對手陷入著迷狀態。特性魔法防守不會受到攻擊以外的傷害。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/18e9dc86ced1320d6846f2c192c4eb04e517963a.png
36,皮可西,妖精,毒鋼,身高1.3 m分類妖精寶可夢體重40.0 kg性別/特性迷人之軀魔法防守特性迷人之軀有時會讓接觸到自己的對手陷入著迷狀態。特性魔法防守不會受到攻擊以外的傷害。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/1865f85f9e417522f8de1a239fbff27f2106783b.png
37,六尾,火,水地面岩石,身高0.6 m分類狐狸寶可夢體重9.9 kg性別/特性引火特性引火受到火屬性的招式攻擊時，吸收火焰，讓自己使出的火屬性招式變強。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f285c634efd141918f6ad066a6f59c20746d9050.png
37,六尾,冰,火格鬥岩石鋼,身高0.6 m分類狐狸寶可夢體重9.9 kg性別/特性雪隱特性雪隱天氣為下雪時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/89719dbcbddd11a1e6bc5f4366e00910a04eaf9f.png
37,六尾,冰,火格鬥岩石鋼,身高0.6 m分類狐狸寶可夢體重9.9 kg性別/特性雪隱特性雪隱天氣為下雪時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/89719dbcbddd11a1e6bc5f4366e00910a04eaf9f.png
38,九尾,火,水地面岩石,身高1.1 m分類狐狸寶可夢體重19.9 kg性別/特性引火特性引火受到火屬性的招式攻擊時，吸收火焰，讓自己使出的火屬性招式變強。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/cc96e6a4eee980724ebd725bb8785334d3290074.png
38,九尾,冰妖精,火毒岩石鋼,身高1.1 m分類狐狸寶可夢體重19.9 kg性別/特性雪隱特性雪隱天氣為下雪時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/397b20ea73c8358185d6f1d2971b5825b0cb0baf.png
39,胖丁,一般妖精,毒鋼,身高0.5 m分類氣球寶可夢體重5.5 kg性別/特性迷人之軀好勝特性迷人之軀有時會讓接觸到自己的對手陷入著迷狀態。特性好勝被對手降低能力時，特攻會大幅提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/7a2bec0dd522d66353f0cf3df9148070456a3349.png
40,胖可丁,一般妖精,毒鋼,身高1.0 m分類氣球寶可夢體重12.0 kg性別/特性迷人之軀好勝特性迷人之軀有時會讓接觸到自己的對手陷入著迷狀態。特性好勝被對手降低能力時，特攻會大幅提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/b3724395d41de1d0def948966c69148bd9f0f9c1.png
41,超音蝠,毒飛行,電冰超能力岩石,身高0.8 m分類蝙蝠寶可夢體重7.5 kg性別/特性精神力特性精神力靠著經過鍛鍊的精神，不會因對手的攻擊而畏縮。面對威嚇也不會動搖。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/5d54b9d9cefa287ea258517537ba26f4103dda36.png
42,大嘴蝠,毒飛行,電冰超能力岩石,身高1.6 m分類蝙蝠寶可夢體重55.0 kg性別/特性精神力特性精神力靠著經過鍛鍊的精神，不會因對手的攻擊而畏縮。面對威嚇也不會動搖。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/cedbf9afd3155d3df1e2ffebf049902598ebd74b.png
43,走路草,草毒,火冰飛行超能力,身高0.5 m分類雜草寶可夢體重5.4 kg性別/特性葉綠素特性葉綠素天氣為晴朗時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/6bad448cb0997a928b94e72b67eacb861271f796.png
44,臭臭花,草毒,火冰飛行超能力,身高0.8 m分類雜草寶可夢體重8.6 kg性別/特性葉綠素特性葉綠素天氣為晴朗時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/62973d0fc5f9bd5d8c819b8c885bd1f216983ff1.png
45,霸王花,草毒,火冰飛行超能力,身高1.2 m分類花寶可夢體重18.6 kg性別/特性葉綠素特性葉綠素天氣為晴朗時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a95af5f577260373074117cb756e5ea38cd674ef.png
46,派拉斯,蟲草,火冰毒飛行蟲岩石,身高0.3 m分類蘑菇寶可夢體重5.4 kg性別/特性孢子乾燥皮膚特性孢子透過攻擊有時會使接觸到自己的對手，陷入中毒、麻痺或睡眠狀態。特性乾燥皮膚下雨天氣時和受到水屬性的招式攻擊時，HP會回復。晴朗天氣時和受到火屬性的招式攻擊時，ＨＰ會減少。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/837bcac8efc9329d9e3b9e46e95670a5d493b60a.png
47,派拉斯特,蟲草,火冰毒飛行蟲岩石,身高1.0 m分類蘑菇寶可夢體重29.5 kg性別/特性孢子乾燥皮膚特性孢子透過攻擊有時會使接觸到自己的對手，陷入中毒、麻痺或睡眠狀態。特性乾燥皮膚下雨天氣時和受到水屬性的招式攻擊時，HP會回復。晴朗天氣時和受到火屬性的招式攻擊時，ＨＰ會減少。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e5838e76eb33d88601ba9d6e045e1bdf7e20f46a.png
48,毛球,蟲毒,火飛行超能力岩石,身高1.0 m分類昆蟲寶可夢體重30.0 kg性別/特性複眼有色眼鏡特性複眼因為擁有複眼，會提高招式的命中率。特性有色眼鏡可將效果不好的招式以正常的威力使出。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/8b550ab54d22a87dc784ee1af6cff4ad33aa10a2.png
49,摩鲁蛾,蟲毒,火飛行超能力岩石,身高1.5 m分類毒蛾寶可夢體重12.5 kg性別/特性鱗粉有色眼鏡特性鱗粉被鱗粉守護著，不會受到招式的追加效果影響。特性有色眼鏡可將效果不好的招式以正常的威力使出。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/c57d464a64424f031a9872f2ec3f7c0b8052d3c1.png
50,地鼠,地面,水草冰,身高0.2 m分類鼴鼠寶可夢體重0.8 kg性別/特性沙隱沙穴特性沙隱在沙暴中閃避率會提高。特性沙穴在戰鬥中讓對手無法逃走。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/583fa625d6fda586a5734f5f9e455952aa6af15f.png
50,地鼠,地面鋼,火水格鬥地面,身高0.2 m分類鼴鼠寶可夢體重1.0 kg性別/特性沙隱捲髮特性沙隱在沙暴中閃避率會提高。特性捲髮對手用攻擊接觸到自己時，降低此對手的速度。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/19bd3a09933b3e9a0a7156ef294091922dbf771e.png
51,三地鼠,地面,水草冰,身高0.7 m分類鼴鼠寶可夢體重33.3 kg性別/特性沙隱沙穴特性沙隱在沙暴中閃避率會提高。特性沙穴在戰鬥中讓對手無法逃走。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/de7c2ea1a9f39427b4732a6122284f257f9e87aa.png
51,三地鼠,地面鋼,火水格鬥地面,身高0.7 m分類鼴鼠寶可夢體重66.6 kg性別/特性沙隱捲髮特性沙隱在沙暴中閃避率會提高。特性捲髮對手用攻擊接觸到自己時，降低此對手的速度。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/7ba9403c475a889eadffb71b6cceae6e13c91a8e.png
52,喵喵,一般,格鬥,身高0.4 m分類妖怪貓寶可夢體重4.2 kg性別/特性撿拾技術高手特性撿拾有時會撿來對手用過的道具。冒險過程中也會撿來。特性技術高手可讓威力低的招式提高威力來進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/6ea01871238908780334293e6407033650d803a9.png
52,喵喵,惡,格鬥蟲妖精,身高0.4 m分類妖怪貓寶可夢體重4.2 kg性別/特性撿拾技術高手特性撿拾有時會撿來對手用過的道具。冒險過程中也會撿來。特性技術高手可讓威力低的招式提高威力來進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/57a0c88227aa0fe2327d79af31eb9516d4728752.png
52,喵喵,鋼,火格鬥地面,身高0.4 m分類妖怪貓寶可夢體重7.5 kg性別/特性撿拾硬爪特性撿拾有時會撿來對手用過的道具。冒險過程中也會撿來。特性硬爪接觸到對手的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/704fc0cde74c862f2063faefcf40eb67752a8637.png
52,喵喵,一般,格鬥,身高33.0 m〜分類-體重???.? kg性別/特性撿拾技術高手特性撿拾有時會撿來對手用過的道具。冒險過程中也會撿來。特性技術高手可讓威力低的招式提高威力來進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/bff57f3b31012cef1da149224a84180492f90ed4.png
53,猫老大,一般,格鬥,身高1.0 m分類暹羅貓寶可夢體重32.0 kg性別/特性柔軟技術高手特性柔軟因為身體柔軟，不會陷入麻痺狀態。特性技術高手可讓威力低的招式提高威力來進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/8da0bb6b5587f2150f41b08e0d61a80827d7229f.png
53,猫老大,惡,格鬥蟲妖精,身高1.1 m分類暹羅貓寶可夢體重33.0 kg性別/特性毛皮大衣技術高手特性毛皮大衣對手的物理招式造成的傷害會減半。特性技術高手可讓威力低的招式提高威力來進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/4341e35269528c91e75b6516b820804a37d9eebf.png
53,猫老大,惡,格鬥蟲妖精,身高1.1 m分類暹羅貓寶可夢體重33.0 kg性別/特性毛皮大衣技術高手特性毛皮大衣對手的物理招式造成的傷害會減半。特性技術高手可讓威力低的招式提高威力來進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/4341e35269528c91e75b6516b820804a37d9eebf.png
54,可达鸭,水,草電,身高0.8 m分類鴨寶可夢體重19.6 kg性別/特性濕氣無關天氣特性濕氣透過把周圍都弄濕，使誰都無法使用自爆等爆炸類的招式。特性無關天氣任何天氣的影響都會消失。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/0783062d0d860b8ae7d8e859241a700359c4d981.png
55,哥达鸭,水,草電,身高1.7 m分類鴨寶可夢體重76.6 kg性別/特性濕氣無關天氣特性濕氣透過把周圍都弄濕，使誰都無法使用自爆等爆炸類的招式。特性無關天氣任何天氣的影響都會消失。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/0dd5b6e921f55c5d49978b84ee66e458336518ae.png
56,猴怪,格鬥,飛行超能力妖精,身高0.5 m分類豬猴寶可夢體重28.0 kg性別/特性幹勁憤怒穴位特性幹勁透過激發出幹勁，不會陷入睡眠狀態。特性憤怒穴位要害被擊中時會大發雷霆。攻擊力會提高到最大。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/00fb5703d7c2b7a89933bbed89f4c84e48c59ea2.png
57,火爆猴,格鬥,飛行超能力妖精,身高1.0 m分類豬猴寶可夢體重32.0 kg性別/特性幹勁憤怒穴位特性幹勁透過激發出幹勁，不會陷入睡眠狀態。特性憤怒穴位要害被擊中時會大發雷霆。攻擊力會提高到最大。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/37a3edfcf9c5cbdb68bcf8945ff89fe2999e5a30.png
58,卡蒂狗,火,水地面岩石,身高0.7 m分類小狗寶可夢體重19.0 kg性別/特性威嚇引火特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。特性引火受到火屬性的招式攻擊時，吸收火焰，讓自己使出的火屬性招式變強。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/333e2aef290059dc46274b77ea4095094784316a.png
58,卡蒂狗,火岩石,水格鬥地面岩石,身高0.8 m分類放哨寶可夢體重22.7 kg性別/特性威嚇引火特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。特性引火受到火屬性的招式攻擊時，吸收火焰，讓自己使出的火屬性招式變強。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/aec5b543798b097df9aa33f8196aebac539396db.png
