姓名,进化,属性,弱点,身高,体重,特征,数据
阿柏怪,阿柏怪,毒,地面,3.5,65,威吓,眼镜蛇宝可梦最新的研究结果显示，牠们肚子上的花纹有２０种以上的不同图案。出场时威吓对手，使其退缩，从而降低对手的攻击。特蜕皮透过蜕去身上的皮，有时会治愈异常状态。
皮卡丘,雷丘,电,地面,0.4,6,静电,鼠宝可梦双颊上有储存电力的囊袋。一旦生气就会把储存的电力一口气释放出来。身上带有静电，有时会令接触到的对手麻痺。
雷丘,雷丘,电,地面,0.8,30,静电,鼠宝可梦尾巴会发挥接地线的作用把电气导入地面，所以自己不会被电得发麻。身上带有静电，有时会令接触到的对手麻痺。
穿山鼠,穿山王,地面,水草,0.6,12,沙隐,鼠宝可梦栖息在雨量稀少的地区。遇到危险时会蜷缩起身体，借此保护自己柔软的腹部。在沙暴中闪避率会提高。
穿山王,穿山王,地面,水草,1,29.5,沙隐,鼠宝可梦爪子和尖刺经常折断。折断的爪子和尖刺被人们用来制作成耕作土地的工具。在沙暴中闪避率会提高。
尼多兰,尼多娜,毒,地面,0.4,7,毒刺,毒针宝可梦人们认为牠是为了保护自己娇小的身体才演化出了威力强大的毒针。生气时会从角的尖端喷出剧毒。有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。
尼多娜,尼多后,毒,地面,0.8,20,毒刺,毒针宝可梦和伙伴及家人在一起的时候，会收起尖刺以避免伤到彼此。一旦离开伙伴似乎就会变得不安。有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。
尼多后,无信息,毒地面,水冰,1.3,60,毒刺,钻锥宝可梦擅长利用长满坚硬鳞片的身体将对手撞飞的攻击。在保护孩子的时候会发挥最强的力量。有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。
尼多朗,尼多力诺,毒,地面,0.5,9,毒刺,毒针宝可梦牵动耳朵的肌肉十分发达，可以随意将耳朵转动到任何方向。是无论多小的声音也不会漏听的宝可梦。有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。
尼多力诺,尼多王,毒,地面,0.9,19.5,毒刺,毒针宝可梦有著比钻石还要坚硬的角。感觉到敌人的气息时，背上的刺会一起竖起来全力迎敌。有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。
尼多王,尼多王,毒地面,水冰,1.4,62,毒刺,钻锥宝可梦粗壮的尾巴挥出的一击有著能将坚固铁塔折断的惊人破坏力。一旦闹了起来就无人能挡。有时会让接触到自己的对手陷入中毒状态。特斗争心面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。
皮皮,皮可西,妖精,毒钢,0.6,7.5,迷人之躯,妖精宝可梦据说如果在满月的夜晚看见皮皮们聚在一起跳舞，就能得到幸福。有时会让接触到自己的对手陷入着迷状态。特魔法防守不会受到攻击以外的伤害。
皮可西,皮可西,妖精,毒钢,1.3,40,迷人,妖精宝可梦妖精的一种。极少出现在人类面前。一感觉到有人就会立刻逃走。有时会让接触到自己的对手陷入着迷状态。特魔法防守不会受到攻击以外的伤害。
六尾,九尾,火,水,0.6,9.9,引火,狐狸宝可梦虽然还是孩子，但已拥有美丽的６根尾巴。长大后尾巴会变得更多。受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。
九尾,九尾,火,水,1.1,19.9,引火,狐狸宝可梦每一根尾巴里都蕴含著神通力。据说牠的寿命长达１０００年。受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。
胖丁,胖可丁,一般妖精,毒钢,0.5,5.5,迷人之躯,气球宝可梦当牠圆圆的大眼睛转动时，就会唱起奇妙的歌曲，让人舒服地昏昏欲睡。有时会让接触到自己的对手陷入着迷状态。特好胜被对手降低能力时，特攻会大幅提高。
胖可丁,胖可丁,一般妖精,毒钢,1,12,迷人之躯,气球宝可梦拥有细致的毛皮。小心别惹牠生气，否则牠会不断膨胀并朝著你压过来。有时会让接触到自己的对手陷入着迷状态。特好胜被对手降低能力时，特攻会大幅提高。
超音蝠,大嘴蝠,毒飞行,电冰,0.8,7.5,精神力,蝙蝠宝可梦因为没有眼珠所以看不见东西。会从口中发出超音波来探测周围的状况。靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。
大嘴蝠,无信息,毒飞行,电冰,1.6,55,精神力,蝙蝠宝可梦有时可以看见因为肚子太饿而去咬钢属性宝可梦，结果因此缺了牙齿的大嘴蝠。靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。
走路草,臭臭花,草毒,火冰,0.5,5.4,叶绿素,杂草宝可梦沐浴月光就会开始活动。为了四处散播种子，会在夜晚到处走动。天气为晴朗时，速度会提高。
臭臭花,霸王花,草毒,火冰,0.8,8.6,叶绿素,杂草宝可梦雌蕊会散发一种极其强烈的恶臭，能让２公里外的人昏倒。天气为晴朗时，速度会提高。
霸王花,霸王花,草毒,火冰,1.2,18.6,叶绿素,花宝可梦身上那些全世界最大的花瓣会随著牠的每个步伐摇动，散播大量的毒花粉。天气为晴朗时，速度会提高。
派拉斯,派拉斯特,虫草,火,0.3,5.4,孢子,蘑菇宝可梦不知是因为湿气不够还是营养不足，阿罗拉的派拉斯背上的蘑菇长得都不怎么样。透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。特干燥皮肤下雨天气时和受到水属的招式攻击时，HP会回复。晴朗天气时和受到火属的招式攻击时，ＨＰ会减少。
派拉斯特,派拉斯特,虫草,火,1,29.5,孢子,蘑菇宝可梦本体是背上的蘑菇，底下的虫子几乎已经死亡。一旦蘑菇脱落，牠就再也不会动了。透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。特干燥皮肤下雨天气时和受到水属的招式攻击时，HP会回复。晴朗天气时和受到火属的招式攻击时，ＨＰ会减少。
毛球,摩鲁蛾,虫毒,火,1,30,复眼,昆虫宝可梦全身上下都会渗出毒素。天黑后就会去捕捉聚在灯光处的小型虫宝可梦。因为拥有复眼，会提高招式的命中率。特有色眼镜可将效果不好的招式以正常的威力使出。
摩鲁蛾,摩鲁蛾,虫毒,火,1.5,12.5,鳞粉,毒蛾宝可梦翅膀上附著鳞粉，每次翩翩拍动翅膀，就会散播剧毒的粉末。被鳞粉守护着，不会受到招式的追加效果影响。特有色眼镜可将效果不好的招式以正常的威力使出。
地鼠,三地鼠,地面,水草,0.2,0.8,沙隐,鼹鼠宝可梦在大约１公尺深的地底挖洞前进，靠啃食树根之类的东西生存。偶尔会到地面上露个脸。在沙暴中闪避率会提高。特沙穴在战斗中让对手无法逃走。
三地鼠,三地鼠,地面,水草,0.7,33.3,沙隐,鼹鼠宝可梦三颗头会轮流活动，是为了让周围的土变得更松更好挖。在沙暴中闪避率会提高。特性沙穴在战斗中让对手无法逃走。
猫老大,猫老大,一般,格斗,1,32,柔软,暹罗猫宝可梦有著漂亮的毛色，很多人想养牠当宠物，但牠很爱乱抓，所以并不好养。因为身体柔软，不会陷入麻痺状态。特技术高手可让威力低的招式提高威力来进行攻击。
可达鸭,哥达鸭,水,草电,0.8,19.6,湿气,鸭宝可梦 一直受到头痛的困扰。当头痛欲裂时，就会开始使用神奇的力量。透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。特无关天气任何天气的影响都会消失。
哥达鸭,哥达鸭,水,草电,1.7,76.6,湿气,鸭宝可梦当牠用带有水蹼的修长手脚全力游泳时，不知为何额头会闪闪发光。透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。特无关天气任何天气的影响都会消失。
猴怪,火爆猴,格斗,飞行,0.5,28,干劲,猪猴宝可梦在树上群居的宝可梦。和伙伴走散的猴怪会因为按捺不住寂寞而动不动就生气。透过激发出干劲，不会陷入睡眠状态。特愤怒穴位要害被击中时会大发雷霆。攻击力会提高到最大。
火爆猴,弃世猴,格斗,飞行,1,32,干劲,猪猴宝可梦光是感觉到他方的视线都会暴怒起来，然后去追和牠对到眼的家伙。透过激发出干劲，不会陷入睡眠状态。特愤怒穴位要害被击中时会大发雷霆。攻击力会提高到最大。
卡蒂狗,风速狗,火,水,0.7,19,威吓,小狗宝可梦能毫不畏惧地去对抗比自己更强更大的对手。性格非常勇敢可靠。出场时威吓对手，使其退缩，从而降低对手的攻击。特引火受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。
风速狗,风速狗,火,水,1.9,155,威吓,传说宝可梦根据过去的画轴记载，牠在草原上奔驰的姿态掳获了众多人心。出场时威吓对手，使其退缩，从而降低对手的攻击。特引火受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。
蚊香蝌蚪,蚊香君,水,草电,0.6,12.4,储水,蝌蚪宝可梦虽然危险却总是想登上陆地。因为连走路都还走不稳，所以一被敌人发现就会慌忙逃进水中。受到水属的招式攻击时，不会受到伤害，而是会回复。特湿气透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。
蚊香君,蚊香泳士,水,草电,1,20,储水,蝌蚪宝可梦虽然已经能在陆地上生活，但还是栖息在有大量鱼宝可梦可以猎食的水中。受到水属的招式攻击时，不会受到伤害，而是会回复。特湿气透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。
蚊香泳士,蚊香泳士,水格斗,草电,1.3,54,储水,蝌蚪宝可梦在水属性宝可梦中是属于游泳健将那一类型，但平时却生活在陆地上。受到水属的招式攻击时，不会受到伤害，而是会回复。特湿气透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。
凯西,勇基拉,超能力,虫,0.9,19.5,同步,念力宝可梦即使在睡梦中也会使出各式各样的超能力，所以很难分辨牠是不是醒著。将自己的中毒、麻痺或灼伤状态传染给对手。特精神力靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。
勇基拉,胡地,超能力,虫,1.3,56.5,同步,念力宝可梦会盯著银汤匙瞧，来增强并释放精神力量。换成金汤匙似乎就没用了。将自己的中毒、麻痺或灼伤状态传染给对手。特精神力靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。
胡地,超级胡地,超能力,虫,1.5,48,同步,念力宝可梦手中的汤匙是胡地用超能力制造出来的，是全世界独一无二的作品。将自己的中毒、麻痺或灼伤状态传染给对手。特精神力靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。
超级胡地,超级胡地,超能力,虫,1.2,48,复制,念力宝可梦会从额头上的红色器官释放出精神力量，借此看穿对手的一切。出场时，复制对手的特，变为与之相同的特。
腕力,豪力,格斗,飞行,0.8,19.5,毅力,怪力宝可梦全身都是肌肉，虽然体型只有小孩那么大，却可以扔飞１００个大人。陷入异常状态时，会拿出毅力，攻击会提高。特无防守由于无防守战术，双方使出的招式都必定会击中。
豪力,怪力,格斗,飞行,1.5,70.5,毅力,怪力宝可梦因为肉体非常强韧，所以戴著力量限制腰带来控制力量。陷入异常状态时，会拿出毅力，攻击会提高。特无防守由于无防守战术，双方使出的招式都必定会击中。
怪力,怪力,格斗,飞行,1.6,130,毅力,怪力宝可梦能够迅速活动４只手臂，从各种角度毫不停歇地使出拳击或手刀。陷入异常状态时，会拿出毅力，攻击会提高。特无防守由于无防守战术，双方使出的招式都必定会击中。
喇叭芽,口呆花,草毒,火冰,0.7,4,叶绿素,花宝可梦无论多强的攻击都能靠著弯曲纤细柔软的身体来回避。会从口中吐出连铁都能融化的液体。天气为晴朗时，速度会提高。
口呆花,大食花,草毒,火冰,1,6.4,叶绿素,捕蝇宝可梦到了晚上就会用臀部的钩子挂在树枝上睡觉。如果睡相不好，早上就会掉到地上。天气为晴朗时，速度会提高。
大食花,大食花,草毒,火冰,1.7,15.5,叶绿素,捕蝇宝可梦会让长在头上的藤蔓像小生物一样动来动去引诱猎物。等猎物靠近时就会张开大嘴一口吞掉。天气为晴朗时，速度会提高。
玛瑙水母,毒刺水母,水毒,电,0.9,45.5,恒净之躯,水母宝可梦会漂浮在海边寻找猎物。有毒的触手有时也会断掉，但过了一段时间就会重新长出来。不会因对手的招式或特而被降低能力。特污泥浆吸收了污泥浆的对手会因为强烈的恶臭而使得ＨＰ减少。
毒刺水母,毒刺水母,水毒,电,1.6,55,恒净之躯,水母宝可梦会从红色珠子中发出超音波，使猎物变得虚弱，然后用８０根触手缠住猎物。不会因对手的招式或特而被降低能力。特污泥浆吸收了污泥浆的对手会因为强烈的恶臭而使得ＨＰ减少。
小拳石,隆隆石,岩石地面,水草,0.4,20,坚硬,岩石宝可梦活得久的小拳石身上的棱角会被磨平而变得圆滚滚的，性格也会变得稳重而随和。脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。
隆隆石,隆隆岩,岩石地面,水草,1,105,坚硬,岩石宝可梦会爬上山崖朝山顶前进，一到达山顶就会马上沿著来时的山路滚下去。脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。
隆隆岩,隆隆岩,岩石地面,水草,1.4,300,坚硬,重量级宝可梦年老之后就不会再脱皮。活过了漫长岁月的隆隆岩外皮会长满苔藓而变成绿色。脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。
小火马,烈焰马,火,水,1,30,逃跑,火马宝可梦刚出生的时候不擅长奔跑，但随著和伙伴们不断地赛跑，会逐渐锻炼出强健的脚力。一定能从野生宝可梦那里逃走。特性引火受到火属性的招式攻击时，吸收火焰，让自己使出的火属性招式变强。
烈焰马,烈焰马,火,水,1.7,95,逃跑,火马宝可梦任由燃烧的鬃毛随风飘扬，以每小时２４０公里的速度在大草原上自在奔驰。一定能从野生宝可梦那里逃走。特性引火受到火属性的招式攻击时，吸收火焰，让自己使出的火属性招式变强。
呆呆兽,呆壳兽,水超能力,草电虫,1.2,36,迟钝,憨憨宝可梦动作迟钝且呆头呆脑。就算挨打也得花上５秒才会感受到疼痛。感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。
呆壳兽,超级呆壳兽,水超能力,草电虫,1.6,78.5,迟钝,寄居蟹宝可梦呆呆兽去海里捕食时，被大舌贝咬住了尾巴，于是就变成了呆壳兽。感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。
超级呆壳兽,超级呆壳兽,水超能力,草电虫,2,120,硬壳盔甲,寄居蟹宝可梦惊人的能量强化了尾巴上大舌贝的力量。对呆呆兽倒是没什么影响。被坚硬的壳保护着，对手的攻击不会击中要害。
小磁怪,三合一磁怪,电钢,火,0.3,6,磁力,磁铁宝可梦从左右两边的组件发出的电磁波能阻碍重力，使牠浮在空中。用磁力吸住钢属性的宝可梦，使其无法逃走。特性结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。
三合一磁怪,自爆磁怪,电钢,火,1,60,磁力,磁铁宝可梦３只小磁怪因著强烈的磁力而结合。只要靠近牠就会发生强烈的耳鸣。用磁力吸住钢属性的宝可梦，使其无法逃走。特性结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。
大葱鸭,葱游兵,一般飞行,电冰,0.8,15,锐利目光,黄嘴鸭宝可梦会将翅膀所拿的茎状植物当成剑一般去劈砍对手。在非常时期会拿它当作食物。靠着锐利的目光，命中率不会被降低。特精神力靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。
嘟嘟,嘟嘟利,一般飞行,电冰,1.4,39.2,逃跑,两头鸟宝可梦２颗头从来不会同时睡著。为了防止在睡著时受到敌人袭击，牠们会轮流负责放哨。一定能从野生宝可梦那里逃走。特性早起即使陷入睡眠状态，也能以２倍的速度提早醒来。
嘟嘟利,嘟嘟利,一般飞行,电冰,1.8,85.2,逃跑,三头鸟宝可梦３颗头分别朝著不同方向时，就是牠正处于警戒状态的证明。不小心靠近牠的话就会被鸟嘴啄。一定能从野生宝可梦那里逃走。特性早起即使陷入睡眠状态，也能以２倍的速度提早醒来。
小海狮,白海狮,水,草电,1.1,90,厚脂肪,海狮宝可梦人们一向认为牠只栖息在寒冷的海域，没人知道牠出现在阿罗拉的原因。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特湿润之躯天气为下雨时，会治愈异常状态。
白海狮,白海狮,水冰,草电,1.7,120,厚脂肪,海狮宝可梦能以８节的速度在海中游动，寻找能当成猎物的宝可梦。弱丁鱼是牠最爱吃的东西。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特湿润之躯天气为下雨时，会治愈异常状态。
臭泥,臭臭泥,毒,地面,0.9,30,恶臭,污泥宝可梦污泥变成的宝可梦。会聚集在肮脏的地方来繁殖身体的细菌。发出臭气，在攻击的时候，有时会使对手畏缩。特黏着道具会黏在具有黏的身体上，不会被对手夺走。
臭臭泥,臭臭泥,毒,地面,1.2,30,恶臭,污泥宝可梦全身上下沾满污泥。光是碰到牠的足迹，都会受到毒素的侵袭。发出臭气，在攻击的时候，有时会使对手畏缩。特黏着道具会黏在具有黏的身体上，不会被对手夺走。
大舌贝,刺甲贝,水,草电,0.3,4,硬壳盔甲,双壳贝宝可梦包覆著身体的是比钻石还硬的壳。不过壳里面却比想像中的还要柔软。被坚硬的壳保护着，对手的攻击不会击中要害。特连续攻击若使用连续招式，总是可使出最高次数。
刺甲贝,刺甲贝,水冰,草电,1.5,132.5,硬壳盔甲,双壳贝宝可梦刺甲贝栖息在潮流湍急的海里，壳上的刺又大又尖锐。被坚硬的壳保护着，对手的攻击不会击中要害。特连续攻击若使用连续招式，总是可使出最高次数。
鬼斯,鬼斯通,幽灵毒,地面,1.3,0.1,飘浮,气体状宝可梦会用气体状的身体缠住猎物，再从皮肤缓缓地注入毒素，使对手变得虚弱。从地面浮起，从而不会受到地面属招式的攻击。
鬼斯通,鬼斯通,幽灵毒,地面,1.6,0.1,飘浮,气体状宝可梦喜欢躲在黑暗中伸出气体构成的手去拍人的肩膀。一旦被接触到，身体便会抖个不停。从地面浮起，从而不会受到地面属招式的攻击。
耿鬼,超级耿鬼,幽灵毒,地面,1.5,40.5,诅咒之躯,影子宝可梦会潜进猎物的影子里，然后静静地等待夺取性命的机会到来。受到攻击时，有时会把对手的招式变为定身法状态。
超级耿鬼,超级耿鬼,幽灵毒,地面,1.4,40.5,踩影,影子宝可梦会夺取所有东西的生命。即使是身为牠主人的训练家，也是牠试图诅咒的对象。踩住对手的影子使其无法逃走或替换。
大岩蛇,大岩蛇,岩石地面,水草,8.8,210,坚硬脑袋,岩蛇宝可梦会一边在地底挖掘前进，一边吸收各种坚硬的物体，借此让身体变得更加结实。即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。
催眠貘,引梦貘人,超能力,虫,1,32.4,不眠,催眠宝可梦能记住所有自己吃下的梦。由于小孩的梦更加美味，因此几乎不吃大人的梦。因为拥有不会睡觉的体质，所以不会陷入睡眠状态。特预知梦出场时，预见1个对手持有的招式。
引梦貘人,引梦貘人,超能力,虫,1.6,75.6,不眠,催眠宝可梦据说牠和对手对到眼时，就会使出催眠术等各式各样的超能力。因为拥有不会睡觉的体质，所以不会陷入睡眠状态。特预知梦出场时，预见1个对手持有的招式。
大钳蟹,巨钳蟹,水,草电,0.4,6.5,怪力钳,清水蟹宝可梦能在海边找到牠。巨大的钳子即使断掉也会再长出来。因为拥有以力量为傲的钳子，不会被对手降低攻击。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
巨钳蟹,巨钳蟹,水,草电,1.3,60,怪力钳,钳子宝可梦虽然坚硬的钳子有著１万马力的力量，但尺寸太大让牠行动迟缓。因为拥有以力量为傲的钳子，不会被对手降低攻击。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
霹雳电球,顽皮雷弹,电,地面,0.5,10.4,隔音透过,球宝可梦靠著翻滚身体来移动，如果地面凹凸不平，就会受到冲击而爆炸。遮蔽声音，不受到声音招式的攻击。特静电身上带有静电，有时会令接触到的对手麻痺。
顽皮雷弹,顽皮雷弹,电,地面,1.2,66.6,隔音透过,球宝可梦虽然储存的电能越多，移动的速度也会变得越快，但同时也会变得更容易爆炸。遮蔽声音，不受到声音招式的攻击。特静电身上带有静电，有时会令接触到的对手麻痺。
蛋蛋,椰蛋树,草超能力,火,0.4,2.5,叶绿素,蛋宝可梦６只合起来算是１只。就算发生了什么事导致少了１只，隔天也一定会变回６只。天气为晴朗时，速度会提高。
椰蛋树,椰蛋树,草超能力,火,2,120,叶绿素,椰子宝可梦会用精神力量迎战敌人。３个头会分别发出念力，所以威力也会变成３倍。天气为晴朗时，速度会提高。
