妙蛙种子	妙蛙草
吼吼鲸	吼鲸王
吼鲸王	吼鲸王
呆火驼	喷火驼
喷火驼	超级喷火驼
超级喷火驼	超级喷火驼
煤炭龟	煤炭龟
跳跳猪	噗噗猪
噗噗猪	噗噗猪
晃晃斑	晃晃斑
大颚蚁	超音波幼虫
超音波幼虫	沙漠蜻蜓
沙漠蜻蜓	沙漠蜻蜓
刺球仙人掌	梦歌仙人掌
梦歌仙人掌	梦歌仙人掌
青绵鸟	七夕青鸟
七夕青鸟	超级七夕青鸟
超级七夕青鸟	超级七夕青鸟
猫鼬斩	猫鼬斩
饭匙蛇	饭匙蛇
月石	月石
太阳岩	太阳岩
泥泥鳅	鲶鱼王
鲶鱼王	鲶鱼王
龙虾小兵	铁螯龙虾
铁螯龙虾	铁螯龙虾
天秤偶	念力土偶
念力土偶	念力土偶
触手百合	摇篮百合
摇篮百合	摇篮百合
太古羽虫	太古盔甲
太古盔甲	太古盔甲
丑丑鱼	美纳斯
美纳斯	美纳斯
飘浮泡泡	飘浮泡泡
变隐龙	变隐龙
怨影娃娃	诅咒娃娃
诅咒娃娃	超级诅咒娃娃
超级诅咒娃娃	超级诅咒娃娃
夜巡灵	彷徨夜灵
彷徨夜灵	彷徨夜灵
热带龙	热带龙
风铃铃	风铃铃
阿勃梭鲁	超级阿勃梭鲁
超级阿勃梭鲁	超级阿勃梭鲁
小果然	果然翁
雪童子	冰鬼护
冰鬼护	超级冰鬼护
超级冰鬼护	超级冰鬼护
海豹球	海魔狮
海魔狮	帝牙海狮
帝牙海狮	帝牙海狮
珍珠贝	猎斑鱼
猎斑鱼	猎斑鱼
樱花鱼	樱花鱼
古空棘鱼	古空棘鱼
爱心鱼	爱心鱼
宝贝龙	甲壳龙
甲壳龙	暴飞龙
暴飞龙	超级暴飞龙
超级暴飞龙	超级暴飞龙
铁哑铃	金属怪
金属怪	巨金怪
巨金怪	超级巨金怪
超级巨金怪	超级巨金怪
雷吉洛克	雷吉艾斯
雷吉艾斯	雷吉斯奇鲁
雷吉斯奇鲁	雷吉斯奇鲁
拉帝亚斯	超级拉帝亚斯
超级拉帝亚斯	超级拉帝亚斯
拉帝欧斯	超级拉帝欧斯
超级拉帝欧斯	超级拉帝欧斯
盖欧卡	盖欧卡
固拉多	固拉多
烈空坐	超级烈空坐
超级烈空坐	超级烈空坐
基拉祈	基拉祈
代欧奇希斯	代欧奇希斯
草苗龟	树林龟
树林龟	土台龟
土台龟	土台龟
小火焰猴	勐火猴
勐火猴	烈焰猴
烈焰猴	烈焰猴
波加曼	波皇子
波皇子	帝王拿波
帝王拿波	帝王拿波
姆克儿	姆克鸟
姆克鸟	姆克鹰
姆克鹰	姆克鹰
大牙狸	大尾狸
大尾狸	大尾狸
圆法师	音箱蟀
音箱蟀	音箱蟀
小猫怪	勒克猫
勒克猫	伦琴猫
伦琴猫	伦琴猫
含羞苞	毒蔷薇
罗丝雷朵	罗丝雷朵
头盖龙	战槌龙
战槌龙	战槌龙
盾甲龙	护城龙
护城龙	护城龙
结草儿	结草贵妇
结草贵妇	结草贵妇
绅士蛾	绅士蛾
三蜜蜂	蜂女王
蜂女王	蜂女王
帕奇利兹	帕奇利兹
泳圈鼬	浮潜鼬
浮潜鼬	浮潜鼬
樱花宝	樱花儿
樱花儿	樱花儿
无壳海兔	海兔兽
海兔兽	海兔兽
双尾怪手	双尾怪手
飘飘球	随风球
随风球	随风球
卷卷耳	长耳兔
长耳兔	超级长耳兔
超级长耳兔	超级长耳兔
梦妖魔	梦妖魔
乌鸦头头	乌鸦头头
魅力喵	魅力喵
东施喵	东施喵
铃铛响	风铃铃
臭鼬噗	坦克臭鼬
坦克臭鼬	坦克臭鼬
铜镜怪	青铜钟
青铜钟	青铜钟
盆才怪	树才怪
魔尼尼	魔墙人偶
小福蛋	幸福蛋
聒噪鸟	聒噪鸟
花岩怪	花岩怪
圆陆鲨	尖牙陆鲨
尖牙陆鲨	烈咬陆鲨
烈咬陆鲨	烈咬陆鲨
小卡比兽	卡比兽
利欧路	路卡利欧
路卡利欧	超级路卡利欧
超级路卡利欧	超级路卡利欧
沙河马	河马兽
河马兽	河马兽
钳尾蝎	龙王蝎
龙王蝎	龙王蝎
不良蛙	毒骷蛙
毒骷蛙	毒骷蛙
尖牙笼	尖牙笼
萤光鱼	霓虹鱼
霓虹鱼	霓虹鱼
小球飞鱼	巨翅飞鱼
雪笠怪	暴雪王
暴雪王	超级暴雪王
超级暴雪王	超级暴雪王
玛狃拉	玛狃拉
自爆磁怪	自爆磁怪
大舌舔	大舌舔
超甲狂犀	超甲狂犀
巨蔓藤	巨蔓藤
电击魔兽	电击魔兽
鸭嘴炎兽	鸭嘴炎兽
波克基斯	波克基斯
远古巨蜓	远古巨蜓
叶伊布	叶伊布
冰伊布	冰伊布
天蝎王	天蝎王
象牙猪	象牙猪
多边兽Ｚ	多边兽Ｚ
艾路雷朵	超级艾路雷朵
超级艾路雷朵	超级艾路雷朵
大朝北鼻	大朝北鼻
黑夜魔灵	黑夜魔灵
雪妖女	雪妖女
洛托姆	洛托姆
由克希	由克希
艾姆利多	艾姆利多
亚克诺姆	亚克诺姆
帝牙卢卡	帝牙卢卡
帕路奇亚	帕路奇亚
席多蓝恩	席多蓝恩
雷吉奇卡斯	雷吉奇卡斯
骑拉帝纳	骑拉帝纳
克雷色利亚	克雷色利亚
霏欧纳	霏欧纳
玛纳霏	玛纳霏
达克莱伊	达克莱伊
谢米	谢米
阿尔宙斯	阿尔宙斯
比克提尼	比克提尼
藤藤蛇	青藤蛇
青藤蛇	君主蛇
君主蛇	君主蛇
暖暖猪	炒炒猪
炒炒猪	炎武王
炎武王	炎武王
水水獭	双刃丸
双刃丸	大剑鬼
大剑鬼	大剑鬼
探探鼠	步哨鼠
步哨鼠	步哨鼠
小约克	哈约克
哈约克	长毛狗
长毛狗	长毛狗
扒手猫	酷豹
酷豹	酷豹
花椰猴	花椰猿
爆香猴	爆香猿
爆香猿	爆香猿
冷水猴	冷水猿
冷水猿	冷水猿
食梦梦	梦梦蚀
梦梦蚀	梦梦蚀
豆豆鸽	咕咕鸽
咕咕鸽	高傲雉鸡
高傲雉鸡	高傲雉鸡
斑斑马	雷电斑马
雷电斑马	雷电斑马
石丸子	地幔岩
地幔岩	庞岩怪
庞岩怪	庞岩怪
滚滚蝙蝠	心蝙蝠
心蝙蝠	心蝙蝠
螺钉地鼠	龙头地鼠
龙头地鼠	龙头地鼠
差不多娃娃	超级差不多娃娃
超级差不多娃娃	超级差不多娃娃
搬运小匠	铁骨土人
铁骨土人	修建老匠
修建老匠	修建老匠
圆蝌蚪	蓝蟾蜍
蓝蟾蜍	蟾蜍王
蟾蜍王	蟾蜍王
投摔鬼	投摔鬼
打击鬼	打击鬼
虫宝包	宝包茧
宝包茧	保母虫
保母虫	保母虫
百足蜈蚣	车轮毬
车轮毬	蜈蚣王
蜈蚣王	蜈蚣王
木棉球	风妖精
风妖精	风妖精
百合根娃娃	裙儿小姐
裙儿小姐	裙儿小姐
野蛮鲈鱼	野蛮鲈鱼
黑眼鳄	溷溷鳄
溷溷鳄	流氓鳄
流氓鳄	流氓鳄
火红不倒翁	达摩狒狒
达摩狒狒	达摩狒狒
沙铃仙人掌	沙铃仙人掌
石居蟹	岩殿居蟹
岩殿居蟹	岩殿居蟹
滑滑小子	头巾溷溷
头巾溷溷	头巾溷溷
象征鸟	象征鸟
哭哭面具	死神板
死神棺	死神棺
原盖海龟	肋骨海龟
肋骨海龟	肋骨海龟
始祖小鸟	始祖大鸟
始祖大鸟	始祖大鸟
破破袋	灰尘山
灰尘山	灰尘山
索罗亚	索罗亚克
索罗亚克	索罗亚克
泡沫栗鼠	奇诺栗鼠
奇诺栗鼠	奇诺栗鼠
哥德宝宝	哥德小童
哥德小童	哥德小姐
哥德小姐	哥德小姐
单卵细胞球	人造细胞卵
人造细胞卵	人造细胞卵
鸭宝宝	舞天鹅
舞天鹅	舞天鹅
迷你冰	多多冰
多多冰	双倍多多冰
双倍多多冰	双倍多多冰
四季鹿	萌芽鹿
萌芽鹿	萌芽鹿
电飞鼠	电飞鼠
盖盖虫	骑士蜗牛
骑士蜗牛	骑士蜗牛
哎呀球菰	败露球菰
败露球菰	败露球菰
轻飘飘	胖嘟嘟
胖嘟嘟	胖嘟嘟
保母曼波	保母曼波
电电虫	电蜘蛛
电蜘蛛	电蜘蛛
种子铁球	坚果哑铃
坚果哑铃	坚果哑铃
齿轮儿	齿轮组
齿轮组	齿轮怪
麻麻小鱼	麻麻鳗
麻麻鳗	麻麻鳗鱼王
麻麻鳗鱼王	麻麻鳗鱼王
小灰怪	大宇怪
大宇怪	大宇怪
烛光灵	灯火幽灵
灯火幽灵	水晶灯火灵
水晶灯火灵	水晶灯火灵
牙牙	斧牙龙
斧牙龙	双斧战龙
双斧战龙	双斧战龙
喷嚏熊	冻原熊
冻原熊	冻原熊
几何雪花	几何雪花
小嘴蜗	敏捷虫
敏捷虫	敏捷虫
泥巴鱼	泥巴鱼
功夫鼬	师父鼬
师父鼬	师父鼬
赤面龙	赤面龙
泥偶小人	泥偶巨人
泥偶巨人	泥偶巨人
驹刀小兵	噼斩司令
噼斩司令	仆斩将军
爆炸头水牛	爆炸头水牛
毛头小鹰	勇士雄鹰
勇士雄鹰	勇士雄鹰
秃鹰丫头	秃鹰娜
秃鹰娜	秃鹰娜
熔蚁兽	熔蚁兽
铁蚁	铁蚁
单首龙	双首暴龙
双首暴龙	三首恶龙
三首恶龙	三首恶龙
燃烧虫	火神蛾
勾帕路翁	勾帕路翁
代拉基翁	代拉基翁
毕力吉翁	毕力吉翁
龙卷云	龙卷云
雷电云	雷电云
莱希拉姆	莱希拉姆
捷克罗姆	捷克罗姆
土地云	土地云
酋雷姆	酋雷姆
凯路迪欧	凯路迪欧
美洛耶塔	美洛耶塔
盖诺赛克特	盖诺赛克特
哈力栗	胖胖哈力
胖胖哈力	布里卡隆
布里卡隆	布里卡隆
火狐狸	长尾火狐
长尾火狐	妖火红狐
妖火红狐	妖火红狐
呱呱泡蛙	呱头蛙
呱头蛙	甲贺忍蛙
甲贺忍蛙	甲贺忍蛙
掘掘兔	掘地兔
掘地兔	掘地兔
小箭雀	火箭雀
火箭雀	烈箭鹰
烈箭鹰	烈箭鹰
粉蝶虫	粉蝶蛹
粉蝶蛹	彩粉蝶
彩粉蝶	彩粉蝶
小狮狮	火炎狮
火炎狮	火炎狮
花蓓蓓	花叶蒂
花叶蒂	花洁夫人
花洁夫人	花洁夫人
坐骑小羊	坐骑山羊
坐骑山羊	坐骑山羊
顽皮熊猫	流氓熊猫
流氓熊猫	流氓熊猫
多丽米亚	多丽米亚
妙喵	超能妙喵
超能妙喵	超能妙喵
独剑鞘	双剑鞘
双剑鞘	坚盾剑怪
坚盾剑怪	坚盾剑怪
粉香香	芳香精
芳香精	芳香精
绵绵泡芙	胖甜妮
胖甜妮	胖甜妮
好啦鱿	乌贼王
乌贼王	乌贼王
龟脚脚	龟足巨铠
龟足巨铠	龟足巨铠
垃垃藻	毒藻龙
毒藻龙	毒藻龙
铁臂枪虾	钢炮臂虾
钢炮臂虾	钢炮臂虾
伞电蜥	光电伞蜥
光电伞蜥	光电伞蜥
宝宝暴龙	怪颚龙
怪颚龙	怪颚龙
冰雪龙	冰雪巨龙
冰雪巨龙	冰雪巨龙
仙子伊布	仙子伊布
摔角鹰人	摔角鹰人
咚咚鼠	咚咚鼠
小碎钻	小碎钻
黏黏宝	黏美儿
黏美儿	黏美龙
黏美龙	黏美龙
钥圈儿	钥圈儿
小木灵	朽木妖
朽木妖	朽木妖
南瓜精	南瓜怪人
南瓜怪人	南瓜怪人
冰宝	冰岩怪
冰岩怪	冰岩怪
嗡蝠	音波龙
音波龙	音波龙
哲尔尼亚斯	哲尔尼亚斯
伊裴尔塔尔	伊裴尔塔尔
基格尔德	基格尔德
蒂安希	超级蒂安希
超级蒂安希	超级蒂安希
胡帕	胡帕
波尔凯尼恩	波尔凯尼恩
木木枭	投羽枭
投羽枭	狙射树枭
狙射树枭	狙射树枭
火斑喵	炎热喵
炎热喵	炽焰咆哮虎
炽焰咆哮虎	炽焰咆哮虎
球球海狮	花漾海狮
花漾海狮	西狮海壬
西狮海壬	西狮海壬
小笃儿	喇叭啄鸟
喇叭啄鸟	铳嘴大鸟
铳嘴大鸟	铳嘴大鸟
猫鼬少	猫鼬探长
猫鼬探长	猫鼬探长
强颚鸡母虫	虫电宝
虫电宝	锹农炮虫
锹农炮虫	锹农炮虫
好胜蟹	好胜毛蟹
好胜毛蟹	好胜毛蟹
花舞鸟	花舞鸟
萌虻	蝶结萌虻
蝶结萌虻	蝶结萌虻
岩狗狗	鬃岩狼人
鬃岩狼人	鬃岩狼人
弱丁鱼	弱丁鱼
好坏星	超坏星
超坏星	超坏星
泥驴仔	重泥挽马
重泥挽马	重泥挽马
滴蛛	滴蛛霸
滴蛛霸	滴蛛霸
伪螳草	兰螳花
兰螳花	兰螳花
睡睡菰	灯罩夜菰
灯罩夜菰	灯罩夜菰
夜盗火蜥	焰后蜥
焰后蜥	焰后蜥
童偶熊	穿着熊
穿着熊	穿着熊
甜竹竹	甜舞妮
甜舞妮	甜冷美后
甜冷美后	甜冷美后
花疗环环	花疗环环
智挥猩	智挥猩
投掷猴	投掷猴
胆小虫	具甲武者
具甲武者	具甲武者
沙丘娃	噬沙堡爷
噬沙堡爷	噬沙堡爷
拳海参	拳海参
属性：空	银伴战兽
银伴战兽	银伴战兽
小陨星	小陨星
树枕尾熊	树枕尾熊
爆焰龟兽	爆焰龟兽
托戈德玛尔	托戈德玛尔
谜拟Ｑ	谜拟Ｑ
磨牙彩皮鱼	磨牙彩皮鱼
老翁龙	老翁龙
破破舵轮	破破舵轮
心鳞宝	鳞甲龙
鳞甲龙	杖尾鳞甲龙
杖尾鳞甲龙	杖尾鳞甲龙
卡璞・鸣鸣	卡璞・鸣鸣
卡璞・蝶蝶	卡璞・蝶蝶
卡璞・哞哞	卡璞・哞哞
卡璞・鳍鳍	卡璞・鳍鳍
科斯莫古	科斯莫姆
科斯莫姆	索尔迦雷欧
索尔迦雷欧	索尔迦雷欧
露奈雅拉	露奈雅拉
虚吾伊德	虚吾伊德
爆肌蚊	爆肌蚊
费洛美螂	费洛美螂
电束木	电束木
铁火辉夜	铁火辉夜
纸御剑	纸御剑
恶食大王	恶食大王
奈克洛兹玛	奈克洛兹玛
玛机雅娜	玛机雅娜
玛夏多	玛夏多
毒贝比	四颚针龙
四颚针龙	四颚针龙
垒磊石	垒磊石
砰头小丑	砰头小丑
捷拉奥拉	捷拉奥拉
美录坦	美录梅塔
美录梅塔	美录梅塔
敲音猴	啪咚猴
啪咚猴	轰擂金刚猩
轰擂金刚猩	轰擂金刚猩
炎兔儿	腾蹴小将
腾蹴小将	闪焰王牌
闪焰王牌	闪焰王牌
泪眼蜥	变涩蜥
变涩蜥	千面避役
千面避役	千面避役
贪心栗鼠	藏饱栗鼠
藏饱栗鼠	藏饱栗鼠
稚山雀	蓝鸦
蓝鸦	钢铠鸦
钢铠鸦	钢铠鸦
索侦虫	天罩虫
天罩虫	以欧路普
以欧路普	以欧路普
偷儿狐	狐大盗
狐大盗	狐大盗
幼棉棉	白蓬蓬
白蓬蓬	白蓬蓬
毛辫羊	毛毛角羊
毛毛角羊	毛毛角羊
咬咬龟	暴噬龟
暴噬龟	暴噬龟
来电汪	逐电犬
逐电犬	逐电犬
小炭仔	大炭车
大炭车	巨炭山
巨炭山	巨炭山
啃果虫	苹裹龙
苹裹龙	苹裹龙
丰蜜龙	丰蜜龙
沙包蛇	沙螺蟒
沙螺蟒	沙螺蟒
古月鸟	古月鸟
刺梭鱼	戽斗尖梭
戽斗尖梭	戽斗尖梭
毒电婴	颤弦蝾螈
颤弦蝾螈	颤弦蝾螈
烧火蚣	焚焰蚣
焚焰蚣	焚焰蚣
拳拳蛸	八爪武师
八爪武师	八爪武师
来悲茶	怖思壶
怖思壶	怖思壶
迷布莉姆	提布莉姆
提布莉姆	布莉姆温
布莉姆温	布莉姆温
捣蛋小妖	诈唬魔
诈唬魔	长毛巨魔
长毛巨魔	长毛巨魔
堵拦熊	堵拦熊
喵头目	喵头目
魔灵珊瑚	魔灵珊瑚
葱游兵	葱游兵
踏冰人偶	踏冰人偶
死神板	死神板
小仙奶	霜奶仙
霜奶仙	霜奶仙
列阵兵	列阵兵
啪嚓海胆	啪嚓海胆
雪吞虫	雪绒蛾
雪绒蛾	雪绒蛾
巨石丁	巨石丁
冰砌鹅	冰砌鹅
爱管侍	爱管侍
莫鲁贝可	莫鲁贝可
铜象	大王铜象
大王铜象	大王铜象
雷鸟龙	雷鸟龙
雷鸟海兽	雷鸟海兽
鳃鱼龙	鳃鱼海兽
鳃鱼海兽	鳃鱼海兽
铝钢龙	铝钢龙
多龙梅西亚	多龙奇
多龙奇	多龙巴鲁托
多龙巴鲁托	多龙巴鲁托
苍响	苍响
藏玛然特	藏玛然特
无极汰那	无极汰那
熊徒弟	武道熊师
武道熊师	武道熊师
萨戮德	萨戮德
雷吉艾勒奇	雷吉艾勒奇
雷吉铎拉戈	雷吉铎拉戈
雪暴马	雪暴马
灵幽马	灵幽马
蕾冠王	蕾冠王
诡角鹿	诡角鹿
噼斧螳螂	噼斧螳螂
月月熊	月月熊
幽尾玄鱼	长尾宝可梦习惯了用尾巴做各种事之后，双手就变得不怎么灵活了。会在很高的树上筑巢。一定能从野生宝可梦那里逃走。特性捡拾有时会捡来对手用过的道具。冒险过程中也会捡来。
大狃拉	大狃拉
万针鱼	万针鱼
眷恋云	眷恋云
新叶喵	蒂蕾喵
蒂蕾喵	魔幻假面喵
魔幻假面喵	魔幻假面喵
呆火鳄	炙烫鳄
炙烫鳄	骨纹巨声鳄
骨纹巨声鳄	骨纹巨声鳄
润水鸭	涌跃鸭
涌跃鸭	狂欢浪舞鸭
狂欢浪舞鸭	狂欢浪舞鸭
爱吃豚	飘香豚
飘香豚	飘香豚
团珠蛛	操陷蛛
操陷蛛	操陷蛛
豆蟋蟀	烈腿蝗
烈腿蝗	烈腿蝗
布拨	布土拨
布土拨	巴布土拨
巴布土拨	巴布土拨
一对鼠	一家鼠
一家鼠	一家鼠
狗仔包	麻花犬
麻花犬	麻花犬
迷你芙	奥利纽
奥利纽	奥利瓦
奥利瓦	奥利瓦
